project_num,project_name,SowKey
525339,Barrett-Jackson Media,
539171,Barrett-Jackson | Miami+Palm Beach Media Plan,Barrett Jackson Palm Beach Media SOW
666720,Barrett-Jackson | Palm Beach 2024,
645201,Barrett-Jackson | Scottsdale 2024,SOW Barrett 2023- 2024 Scottsdale
593610,Barrett-Jackson | West Palm Beach 2023,
662102,Barro's | FY24 Q2/Q3/Q4 Retainer - NO LONGER USED,
654651,Barro's | FY24 Retainer,
637955,Barro's | Hunger Fight Project,
116958,Barrow - 2016 - Presale - Non-billable,
107542,Barrow - 2016 Digital Media,
63243,Barrow - Barrow Misc. Projects,
491633,Barrow Brain and Spine - 2021 Website Maintenance,
136230,Barrow Google Local Listings,
11033,Barrow Neurosurgical Institute,
74589,Barrow Website - It Really is Brain Surgery,
565017,Barrow | Ad Hoc,
568607,Barrow | Ad-Hoc Requests,
429649,Barrow | ADA Compliance,SOW_ LaneTerralever  _  Barrow ADA Compliance Updates Q4 2019
559726,Barrow | Partners Page Design,
535711,Barrow | Phx Mag Doctor Ads + Branded Ad 2022,
594141,Barrow | Phx Mag Doctor Ads + Branded Ad 2023,
549770,Barrow | Troon Golf and Country Club Ad,
550652,Barrow | Website Maintenance Retainer,Barrow Brain and Spine - Advanced Website Maintenance Retainer SOW _ Not Signed .docx
535710,Barrow | Website Refresh and Email Content,
640611,BaseCamp | 2023 Retainer,
657703,BaseCamp | 2024 Retainer,
677436,BaseCamp | Fran Dev PPC,
673117,BaseCamp | One-Time CRO & Landing Page,
154270,BattlBox Misc Projects,
105292,BattlBox Non-Billable - Sales,
93909,BattlBox Paid Media Retainer,
163778,BattlBox SEO,
509251,Battle Approved Motors,
273309,BBS - Non-Billable,
369083,BBS - PR 2019,
269574,BBS - Website Updates 2017,
297136,BBS - Website Updates 2018,
369082,BBS - Website Updates 2019,
438691,BBS -Website Updates 2020,
432661,BBS | Infusionsoft,
399390,BBS | Landing Page & Social SEO,
619254,BCBS | 2023 Brand Digital and Traditional Media,
589757,BCBS | 2023 Ongoing Media,
